Word,Dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Freq_dom_PoS_SUBTLEX
a,Article,0.96,Article.Adverb.Letter.To.Noun.Preposition.Adjective,993445.33186.6441.744.257.52.5,993445
aa,Name,0.92,Name.Noun,79.7,79
aaa,Name,0.8,Name.Noun,20.5,20
aah,Interjection,1,Interjection,2657,2657
aahed,Verb,1,Verb,1,1
aahing,Verb,1,Verb,2,2
aahs,Noun,1,Noun,5,5
aal,Adjective,1,Adjective,1,1
aardvark,Noun,0.76,Noun.Verb.Name,16.3.2,16
aargh,Interjection,1,Interjection,32,32
aaron,Name,1,Name,744,744
aarrgh,Verb,1,Verb,1,1
aarrghh,Noun,1,Noun,1,1
aas,Noun,0.5,Noun.Name,1.1,1
ab,Unclassified,0.78,Unclassified.Noun.Verb,57.11.5,57
aba,Noun,1,Noun,2,2
abaca,Noun,1,Noun,1,1
aback,Adverb,1,Adverb,15,15
abacus,Noun,0.92,Noun.Name,11.1,11
abacuses,Noun,1,Noun,1,1
abaddon,Noun,0.6,Noun.Name,6.4,6
abaft,Verb,0.5,Verb.Noun,1.1,1
abalone,Verb,0.54,Verb.Noun.Name,14.9.3,14
abalones,Noun,1,Noun,6,6
abandon,Verb,0.96,Verb.Noun,395.18,395
abandoned,Verb,0.71,Verb.Adjective,480.2,480
abandoner,Noun,1,Noun,1,1
abandoning,Verb,1,Verb,86,86
abandonment,Noun,1,Noun,49,49
abandons,Verb,1,Verb,14,14
abase,Verb,1,Verb,3,3
abastard,Noun,1,Noun,1,1
abate,Verb,0.8,Verb.Noun,4.1,4
abated,Verb,1,Verb,4,4
abatement,Noun,1,Noun,3,3
abates,Verb,1,Verb,2,2
abating,Verb,1,Verb,1,1
abattoir,Noun,1,Noun,7,7
abay,Name,1,Name,3,3
abb,Name,0.54,Name.Noun,28.24,28
abba,Name,0.78,Name.Noun,7.2,7
abbas,Name,1,Name,5,5
abbe,Name,1,Name,2,2
abbess,Noun,0.5,Noun.Name,1.1,1
abbesses,Noun,1,Noun,1,1
abbey,Noun,0.94,Noun.Name,152.1,152
abbot,Name,0.51,Name.Noun,22.21,22
abbott,Name,1,Name.Noun,396.1,396
abbreviate,Verb,1,Verb,1,1
abbreviated,Adjective,0.75,Adjective.Verb,12.4,12
abbreviation,Noun,1,Noun,12,12
abbreviations,Noun,1,Noun,10,10
abby,Name,1,Name,632,632
abc,Name,0.91,Name.Noun,114.11,114
abd,Noun,1,Noun,1,1
abdicate,Verb,1,Verb,9,9
abdicated,Verb,1,Verb,7,7
abdicates,Noun,1,Noun,1,1
abdicating,Verb,1,Verb,3,3
abdication,Noun,1,Noun,6,6
abdomen,Noun,1,Noun,171,171
abdomens,Noun,1,Noun,3,3
abdominal,Adjective,1,Adjective,174,174
abdominals,Noun,1,Noun,7,7
abduct,Verb,0.94,Verb.Noun,34.2,34
abducted,Verb,0.94,Verb.Adjective.Name,240.11.3,240
abductee,Noun,1,Noun,20,20
abductees,Noun,1,Noun,18,18
abducting,Verb,1,Verb,16,16
abduction,Noun,1,Noun,185,185
abductions,Noun,1,Noun,41,41
abductor,Noun,0.94,Noun.Name,17.1,17
abductors,Noun,1,Noun,11,11
abducts,Verb,1,Verb,8,8
abeam,Noun,0.86,Noun.Verb,6.1,6
abed,Adverb,1,Adverb,10,10
abel,Name,0.97,Name.Verb.Noun,66.1.1,66
abele,Noun,1,Noun,1,1
abend,Noun,0.67,Noun.Name,6.3,6
aberdeen,Name,1,Name,17,17
abernethy,Name,1,Name,1,1
aberrant,Adjective,0.8,Adjective.Noun,12.3,12
aberration,Noun,1,Noun,28,28
aberrations,Noun,1,Noun,8,8
abet,Verb,1,Verb,5,5
abetted,Verb,1,Verb,8,8
abetting,Verb,0.96,Verb.Name,26.1,26
abettor,Noun,1,Noun,1,1
abeyance,Noun,1,Noun,2,2
abhor,Verb,1,Verb,12,12
abhorred,Verb,1,Verb,7,7
abhorrent,Adjective,1,Adjective,9,9
abhors,Verb,1,Verb,4,4
abide,Verb,1,Verb,138,138
abided,Verb,1,Verb,3,3
abiders,Noun,1,Noun,1,1
abides,Verb,1,Verb,4,4
abiding,Adjective,0.68,Adjective.Verb,17.8,17
abigail,Name,0.58,Name.Verb.Noun,88.51.14,88
abilene,Name,0.88,Name.Noun,60.8,60
abilities,Noun,1,Noun,308,308
ability,Noun,1,Noun,975,975
abiogenist,Noun,1,Noun,3,3
abit,Noun,1,Noun,1,1
abject,Adjective,1,Adjective,20,20
abjectly,Adverb,1,Adverb,3,3
abjure,Verb,1,Verb,1,1
ablate,Verb,1,Verb,1,1
ablated,Verb,1,Verb,1,1
ablation,Noun,1,Noun,1,1
ablaze,Adjective,1,Adjective,21,21
able,Adjective,1,Adjective,8148,8148
abler,Adjective,1,Adjective,1,1
ablest,Adjective,1,Adjective,3,3
abloom,Verb,0.67,Verb.Noun,2.1,2
ablution,Noun,1,Noun,3,3
ablutions,Noun,1,Noun,4,4
ably,Adverb,1,Adverb,9,9
abner,Name,0.58,Name.Noun,97.7,97
abnormal,Adjective,1,Adjective,147,147
abnormalities,Noun,1,Noun,25,25
abnormality,Noun,1,Noun,26,26
abnormally,Adverb,1,Adverb,20,20
abnormity,Noun,1,Noun,1,1
abo,Noun,1,Noun,6,6
aboard,Adverb,0.75,Adverb.Preposition,1006.342,1006
abode,Noun,1,Noun,33,33
abogado,Noun,1,Noun,2,2
abolish,Verb,1,Verb,24,24
abolished,Verb,1,Verb,20,20
abolishes,Verb,1,Verb,1,1
abolishing,Verb,1,Verb,2,2
abolition,Noun,1,Noun,10,10
abolitionism,Noun,1,Noun,1,1
abolitionist,Noun,1,Noun,10,10
abolitionists,Noun,1,Noun,13,13
abomasum,Noun,1,Noun,1,1
abominable,Adjective,1,Adjective,32,32
abominably,Adverb,1,Adverb,8,8
abominate,Verb,0.33,Verb.Noun.Adjective,1.1.1,1
abomination,Noun,1,Noun,58,58
abominations,Noun,1,Noun,7,7
aboriginal,Adjective,1,Adjective,9,9
aboriginally,Adverb,1,Adverb,1,1
aboriginals,Name,1,Name,1,1
aborigine,Noun,0.75,Noun.Verb,3.1,3
aborigines,Noun,0.89,Noun.Name,8.1,8
aborning,Verb,1,Verb,1,1
abort,Verb,1,Verb,234,234
aborted,Verb,0.72,Verb.Adjective.Name,23.8.1,23
aborting,Verb,1,Verb,13,13
abortion,Noun,1,Noun,370,370
abortionist,Noun,1,Noun,4,4
abortionists,Noun,1,Noun,1,1
abortions,Noun,1,Noun,35,35
abortive,Adjective,1,Adjective,1,1
abortively,Adverb,1,Adverb,1,1
aborts,Verb,1,Verb,1,1
abound,Verb,1,Verb,18,18
abounded,Verb,1,Verb,3,3
abounding,Verb,1,Verb,4,4
abounds,Verb,1,Verb,10,10
about,Preposition,0.89,Preposition.Adverb.Noun,164260.20769.13,164260
abouts,Adverb,1,Adverb,8,8
above,Preposition,0.71,Preposition.Adverb.Adjective,1770.608.110,1770
aboveboard,Noun,1,Noun,14,14
aboveground,Adjective,1,Adjective,7,7
abovementioned,Adjective,1,Adjective,1,1
abracadabra,Noun,0.83,Noun.Name,44.9,44
abrade,Verb,1,Verb,1,1
abraded,Verb,0.6,Verb.Name.Adjective,3.1.1,3
abraham,Name,0.99,Name.Noun,261.3,261
abraid,Verb,1,Verb,1,1
abrasion,Noun,1,Noun,18,18
abrasions,Noun,1,Noun,56,56
abrasive,Adjective,1,Adjective,23,23
abrasiveness,Noun,1,Noun,2,2
abrasives,Verb,0.5,Verb.Noun,2.2,2
abraxas,Name,0.52,Name.Noun,15.14,15
abreaction,Noun,1,Noun,1,1
abreast,Adjective,1,Adjective,26,26
abridge,Noun,1,Noun,1,1
abridged,Adjective,0.56,Adjective.Verb.Name,5.3.1,5
abridgement,Noun,1,Noun,1,1
abridging,Verb,1,Verb,2,2
abroad,Adverb,1,Adverb,250,250
abrogate,Verb,1,Verb,1,1
abrogated,Verb,1,Verb,2,2
abrogating,Verb,1,Verb,1,1
abrupt,Adjective,1,Adjective,58,58
abruption,Noun,1,Noun,6,6
abruptly,Adverb,1,Adverb,45,45
abruptness,Noun,1,Noun,4,4
abs,Adjective,1,Adjective,54,54
abscam,Name,0.67,Name.Noun,2.1,2
abscess,Noun,1,Noun,25,25
abscessed,Verb,0.67,Verb.Adjective,2.1,2
abscesses,Noun,1,Noun,7,7
abscond,Verb,0.8,Verb.Noun,4.1,4
absconded,Verb,1,Verb,5,5
absconder,Noun,1,Noun,1,1
absconders,Verb,0.5,Verb.Noun,1.1,1
absconding,Verb,0.67,Verb.Noun,2.1,2
abseiling,Verb,1,Verb,1,1
absence,Noun,1,Noun,321,321
absences,Noun,1,Noun,14,14
absent,Adjective,0.84,Adjective.Verb,110.21,110
absentee,Noun,1,Noun,18,18
absenteeism,Noun,1,Noun,5,5
absentees,Noun,1,Noun,4,4
absentia,Adverb,1,Adverb,9,9
absenting,Verb,1,Verb,2,2
absentminded,Adjective,1,Adjective,3,3
absentmindedness,Noun,1,Noun,1,1
absinthe,Verb,0.56,Verb.Noun,15.12,15
absinthes,Noun,1,Noun,3,3
absinthium,Noun,1,Noun,1,1
absit,Verb,1,Verb,1,1
absolute,Adjective,1,Adjective,578,578
absolutely,Adverb,1,Adverb.Noun,5756.1,5756
absoluteness,Noun,1,Noun,1,1
absolutes,Noun,1,Noun,22,22
absolution,Noun,1,Noun,48,48
absolutions,Name,1,Name,1,1
absolve,Verb,1,Verb,29,29
absolved,Verb,1,Verb,15,15
absolver,Noun,1,Noun,4,4
absolves,Verb,1,Verb,4,4
absolving,Verb,1,Verb,5,5
absorb,Verb,1,Verb,102,102
absorbed,Verb,0.96,Verb.Adjective,75.3,75
absorbent,Adjective,0.88,Adjective.Noun,7.1,7
absorber,Noun,1,Noun,3,3
absorbers,Noun,1,Noun,8,8
absorbing,Verb,0.74,Verb.Adjective,17.6,17
absorbs,Verb,1,Verb,25,25
absorbtion,Noun,1,Noun,3,3
absorption,Noun,1,Noun,18,18
absorptions,Noun,1,Noun,1,1
abstain,Verb,1,Verb,26,26
abstained,Verb,1,Verb,4,4
abstainers,Noun,1,Noun,1,1
abstaining,Verb,1,Verb,8,8
abstains,Verb,1,Verb,2,2
abstention,Noun,1,Noun,6,6
abstentions,Noun,1,Noun,1,1
abstinence,Noun,1,Noun,45,45
abstinent,Noun,0.67,Noun.Adjective,2.1,2
abstract,Adjective,0.9,Adjective.Verb.Noun,101.7.4,101
abstracted,Adjective,0.67,Adjective.Verb,2.1,2
abstracting,Verb,1,Verb,1,1
abstraction,Noun,1,Noun,15,15
abstractionist,Noun,1,Noun,1,1
abstractions,Noun,1,Noun,5,5
abstractly,Adverb,1,Adverb,2,2
abstracts,Noun,1,Noun,7,7
abstruse,Adjective,1,Adjective,3,3
absurd,Adjective,1,Adjective,494,494
absurdist,Noun,1,Noun,1,1
absurdities,Noun,1,Noun,6,6
absurdity,Noun,1,Noun,32,32
absurdly,Adverb,1,Adverb,15,15
abt,Noun,0.45,Noun.Verb.Name,5.4.2,5
abu,Name,1,Name,131,131
abulia,Noun,1,Noun,1,1
abundance,Noun,1,Noun,45,45
abundant,Adjective,1,Adjective,29,29
abundantly,Adverb,1,Adverb,21,21
abuse,Noun,0.77,Noun.Verb.Name,404.118.1,404
abused,Verb,0.88,Verb.Adjective,204.27,204
abuser,Noun,1,Noun,16,16
abusers,Noun,1,Noun,11,11
abuses,Noun,0.56,Noun.Verb,14.11,14
abusing,Verb,0.97,Verb.Adjective,59.2,59
abusive,Adjective,1,Adjective,83,83
abusiveness,Noun,1,Noun,1,1
abut,Verb,1,Verb,6,6
abutment,Noun,1,Noun,6,6
abutments,Noun,1,Noun,1,1
abuts,Verb,1,Verb,2,2
abutting,Verb,1,Verb,1,1
abuzz,Noun,1,Noun,1,1
abysmal,Adjective,1,Adjective,21,21
abysmally,Adverb,1,Adverb,1,1
abyss,Noun,1,Noun,91,91
abyssal,Noun,1,Noun,1,1
abysses,Noun,1,Noun,2,2
abyssinia,Name,1,Name,8,8
abyssinian,Adjective,1,Adjective,9,9
abyssus,Noun,1,Noun,4,4
ac,Noun,1,Noun,73,73
acacia,Noun,0.63,Noun.Name,5.3,5
academe,Noun,1,Noun,2,2
academes,Noun,1,Noun,1,1
academia,Noun,1,Noun,12,12
academic,Adjective,0.99,Adjective.Noun,235.2,235
academically,Adverb,1,Adverb,11,11
academician,Noun,1,Noun,1,1
academics,Noun,1,Noun,34,34
academies,Noun,1,Noun,7,7
academy,Noun,1,Noun,633,633
acadia,Name,1,Name,3,3
acanthus,Adjective,1,Adjective,1,1
acapulco,Name,0.84,Name.Noun,69.13,69
acc,Noun,0.5,Noun.Name,4.4,4
accademia,Noun,1,Noun,1,1
accadian,Adjective,1,Adjective,1,1
accede,Verb,1,Verb,7,7
acceded,Verb,1,Verb,1,1
accelerant,Noun,1,Noun,28,28
accelerate,Verb,1,Verb,65,65
accelerated,Adjective,0.65,Adjective.Verb,32.17,32
accelerates,Verb,1,Verb,5,5
accelerating,Verb,0.71,Verb.Adjective,32.13,32
acceleration,Noun,1,Noun,44,44
accelerator,Noun,1,Noun,69,69
accelerators,Noun,1,Noun,4,4
accent,Noun,0.98,Noun.Verb,609.12,609
accented,Verb,1,Verb,1,1
accents,Noun,1,Noun,58,58
accentuate,Verb,1,Verb,18,18
accentuated,Verb,1,Verb,2,2
accentuates,Verb,1,Verb,4,4
accentuating,Verb,1,Verb,1,1
accept,Verb,1,Verb.Noun,2692.1,2692
acceptable,Adjective,1,Adjective,269,269
acceptance,Noun,1,Noun,162,162
acceptances,Noun,1,Noun,2,2
acceptant,Noun,1,Noun,1,1
accepted,Verb,0.91,Verb.Adjective,725.76,725
accepting,Verb,1,Verb,206,206
accepts,Verb,0.99,Verb.Noun,105.1,105
access,Noun,0.82,Noun.Verb,1318.283,1318
accessed,Verb,1,Verb,78,78
accesses,Verb,1,Verb,2,2
accessibility,Noun,1,Noun,2,2
accessible,Adjective,1,Adjective,56,56
accessing,Verb,0.91,Verb.Noun,48.5,48
accession,Noun,1,Noun,6,6
accessories,Noun,1,Noun,76,76
accessorise,Verb,1,Verb,2,2
accessorize,Verb,1,Verb,18,18
accessorized,Verb,1,Verb,2,2
accessorizing,Verb,0.83,Verb.Adjective,5.1,5
accessory,Noun,0.75,Noun.Adjective,110.37,110
accident,Noun,1,Noun,4138,4138
accidental,Adjective,1,Adjective,152,152
accidentally,Adverb,1,Adverb,448,448
accidentals,Noun,1,Noun,1,1
accidently,Adverb,1,Adverb,11,11
accidents,Noun,1,Noun,340,340
acclaim,Noun,0.95,Noun.Verb,21.1,21
acclaimed,Verb,0.6,Verb.Adjective,12.8,12
acclaims,Verb,0.5,Verb.Noun,1.1,1
acclamation,Noun,1,Noun,1,1
acclimate,Verb,1,Verb,8,8
acclimated,Verb,0.6,Verb.Adjective.Name,6.3.1,6
acclimates,Verb,1,Verb,1,1
acclimating,Verb,1,Verb,3,3
acclimatization,Noun,1,Noun,1,1
acclimatize,Verb,1,Verb,1,1
acclimatized,Verb,0.5,Verb.Adjective,1.1,1
accolade,Noun,1,Noun,1,1
accolades,Noun,1,Noun,9,9
accommodate,Verb,1,Verb,108,108
accommodated,Verb,1,Verb,5,5
accommodates,Verb,1,Verb,3,3
accommodating,Verb,0.69,Verb.Adjective,25.11,25
accommodation,Noun,1,Noun,48,48
accommodations,Noun,1,Noun,85,85
accommodative,Adjective,1,Adjective,1,1
accomodate,Verb,1,Verb,6,6
accompanied,Verb,1,Verb,105,105
accompanier,#N/A,#N/A,#N/A,#N/A,#N/A
accompanies,Verb,1,Verb,13,13
accompaniment,Noun,1,Noun,15,15
accompanist,Noun,1,Noun,10,10
accompanists,Noun,1,Noun,1,1
accompany,Verb,1,Verb,242,242
accompanying,Verb,0.72,Verb.Adjective,34.13,34
accompli,Noun,1,Noun,8,8
accomplice,Noun,1,Noun,216,216
accomplices,Noun,1,Noun,59,59
accomplish,Verb,1,Verb,298,298
accomplished,Verb,0.81,Verb.Adjective,314.72,314
accomplishes,Verb,1,Verb,7,7
accomplishing,Verb,0.96,Verb.Noun,25.1,25
accomplishment,Noun,1,Noun,96,96
accomplishments,Noun,0.99,Noun.Name,79.1,79
accord,Noun,0.82,Noun.Verb.Preposition,62.8.6,62
accordable,Adjective,1,Adjective,1,1
accordance,Preposition,0.88,Preposition.Noun,71.1,71
accorded,Verb,1,Verb,7,7
according,Preposition,0.99,Preposition.Verb.Conjunction.Noun.Adjective,2113.15.4.1.1,2113
accordingly,Adverb,1,Adverb,93,93
accordion,Noun,1,Noun,66,66
accordions,Noun,1,Noun,3,3
accords,Noun,0.56,Noun.Verb,5.4,5
accost,Verb,1,Verb,3,3
accosted,Verb,1,Verb,34,34
accosting,Verb,0.75,Verb.Noun,3.1,3
accosts,Verb,1,Verb,1,1
account,Noun,0.7,Noun.Preposition.Verb,1587.355.335,1587
accountability,Noun,1,Noun,24,24
accountable,Adjective,1,Adjective,72,72
accountancy,Noun,1,Noun,3,3
accountant,Noun,1,Noun,315,315
accountants,Noun,1,Noun,55,55
accounted,Verb,1,Verb,154,154
accounting,Noun,0.78,Noun.Verb.Adjective,180.47.3,180
accounts,Noun,0.9,Noun.Verb,478.55,478
accoutered,Adjective,1,Adjective,1,1
accoutre,Noun,1,Noun,1,1
accoutred,Verb,1,Verb,2,2
accoutrement,Noun,1,Noun,6,6
accoutrements,Noun,1,Noun,6,6
accra,Name,1,Name,4,4
accreditation,Noun,1,Noun,9,9
accredited,Adjective,0.69,Adjective.Verb,11.5,11
accrediting,Verb,1,Verb,1,1
accrete,Verb,1,Verb,1,1
accrual,Noun,1,Noun,2,2
accrue,Verb,1,Verb,4,4
accrued,Verb,0.62,Verb.Adjective,8.5,8
accrues,Verb,1,Verb,1,1
accruing,Verb,1,Verb,2,2
accumulate,Verb,1,Verb,29,29
accumulated,Verb,0.73,Verb.Adjective,29.11,29
accumulates,Verb,1,Verb,11,11
accumulating,Verb,0.94,Verb.Adjective,17.1,17
accumulation,Noun,1,Noun,13,13
accumulations,Noun,1,Noun,1,1
accumulative,Adjective,1,Adjective,3,3
accumulator,Noun,1,Noun,1,1
accuracy,Noun,1,Noun,76,76
accurate,Adjective,1,Adjective,398,398
accurately,Adverb,1,Adverb,58,58
accursed,Adjective,1,Adjective,33,33
accusation,Noun,1,Noun,143,143
accusations,Noun,0.99,Noun.Verb,153.1,153
accusatory,Adjective,1,Adjective,3,3
accuse,Verb,1,Verb,290,290
accused,Verb,0.79,Verb.Adjective,525.141,525
accuser,Noun,1,Noun,15,15
accusers,Noun,1,Noun,8,8
accuses,Verb,1,Verb,31,31
accusing,Verb,1,Verb,252,252
accustom,Verb,1,Verb,6,6
accustomed,Adjective,0.5,Adjective.Verb,75.74,75
ace,Noun,0.77,Noun.Adjective.Name,579.118.54,579
aced,Verb,1,Verb,39,39
acentric,Adjective,1,Adjective,1,1
acerbic,Adjective,1,Adjective,4,4
aces,Noun,1,Noun,202,202
acetabulum,Noun,1,Noun,2,2
acetaminophen,Noun,0.6,Noun.Adjective,3.2,3
acetate,Noun,1,Noun,6,6
acetates,Noun,1,Noun,1,1
acetic,Adjective,1,Adjective,1,1
acetone,Noun,0.75,Noun.Verb,6.2,6
acetyl,Noun,1,Noun,2,2
acetylcholine,Verb,0.57,Verb.Noun,4.3,4
acetylene,Noun,1,Noun,23,23
acetylsalicylic,Adjective,1,Adjective,4,4
ach,Interjection,1,Interjection,38,38
achar,Noun,1,Noun,1,1
ache,Noun,0.53,Noun.Verb,68.6,68
ached,Verb,1,Verb,16,16
acher,Noun,0.5,Noun.Name,1.1,1
acheron,Name,0.52,Name.Noun,13.12,13
aches,Verb,0.56,Verb.Noun,42.33,42
achievable,Adjective,1,Adjective,2,2
achieve,Verb,1,Verb,374,374
achieved,Verb,1,Verb,219,219
achievement,Noun,1,Noun,178,178
achievements,Noun,1,Noun,55,55
achiever,Verb,0.92,Verb.Name,11.1,11
achievers,Noun,1,Noun,9,9
achieves,Verb,1,Verb,16,16
achieving,Verb,0.97,Verb.Noun,36.1,36
achilles,Name,0.99,Name.Noun,112.1,112
achiness,Noun,1,Noun,1,1
aching,Verb,0.55,Verb.Adjective,57.47,57
achingly,Adverb,1,Adverb,2,2
achondroplasia,Noun,1,Noun,2,2
achoo,Noun,1,Noun,5,5
achy,Adjective,0.74,Adjective.Noun,17.6,17
acid,Noun,0.99,Noun.Adjective,502.6,502
acidemia,Noun,1,Noun,2,2
acidic,Adjective,1,Adjective,12,12
acidity,Noun,1,Noun,10,10
acidizing,Verb,1,Verb,1,1
acidophilus,Noun,0.67,Noun.Name,2.1,2
acidosis,Noun,0.88,Noun.Name,7.1,7
acidotic,Adjective,1,Adjective,4,4
acids,Noun,1,Noun,41,41
acing,Verb,1,Verb,4,4
ack,Name,0.52,Name.Verb.Noun,15.12.2,15
ackee,Noun,1,Noun,1,1
acker,Name,0.71,Name.Noun,5.2,5
acknowledge,Verb,1,Verb,313,313
acknowledged,Verb,0.65,Verb.Adjective,65.35,65
acknowledgement,Noun,1,Noun,21,21
acknowledgements,Noun,1,Noun,4,4
acknowledges,Verb,1,Verb,13,13
acknowledging,Verb,1,Verb,36,36
acknowledgment,Noun,1,Noun,26,26
acknowledgments,Noun,1,Noun,1,1
aclu,Noun,0.95,Noun.Name,20.1,20
acme,Noun,0.58,Noun.Name,37.27,37
acne,Noun,1,Noun,46,46
acnes,Noun,1,Noun,1,1
acolyte,Noun,1,Noun,7,7
acolytes,Noun,1,Noun,6,6
acoma,Noun,0.67,Noun.Name,2.1,2
aconitum,Noun,1,Noun,4,4
acorn,Noun,1,Noun,37,37
acorns,Noun,1,Noun,19,19
acoustic,Adjective,0.88,Adjective.Noun,43.6,43
acoustical,Adjective,1,Adjective,6,6
acoustically,Adverb,1,Adverb,1,1
acoustics,Noun,1,Noun,22,22
acquaint,Verb,1,Verb,20,20
acquaintance,Noun,1,Noun,271,271
acquaintances,Noun,1,Noun,54,54
acquaintanceship,Noun,1,Noun,4,4
acquainted,Verb,1,Verb,231,231
acquainting,Verb,1,Verb,2,2
acquiesce,Verb,1,Verb,3,3
acquiesced,Verb,1,Verb,5,5
acquiescence,Noun,1,Noun,5,5
acquiescent,Adjective,1,Adjective,1,1
acquiescing,Verb,1,Verb,2,2
acquire,Verb,1,Verb,135,135
acquired,Verb,0.91,Verb.Adjective,208.2,208
acquirer,Noun,1,Noun,1,1
acquires,Verb,1,Verb,8,8
acquiring,Verb,1,Verb,43,43
acquisition,Noun,1,Noun,74,74
acquisitions,Noun,1,Noun,33,33
acquisitive,Adjective,1,Adjective,3,3
acquisitiveness,Noun,1,Noun,1,1
acquit,Noun,0.96,Noun.Name,23.1,23
acquittal,Noun,1,Noun,37,37
acquittals,Noun,1,Noun,1,1
acquitted,Verb,0.98,Verb.Adjective,78.2,78
acquitting,Verb,1,Verb,6,6
acre,Noun,1,Noun,93,93
acreage,Noun,1,Noun,22,22
acres,Noun,1,Noun,234,234
acrid,Adjective,1,Adjective,2,2
acrimonious,Adjective,1,Adjective,7,7
acrimony,Noun,1,Noun,11,11
acrobat,Noun,0.83,Noun.Verb.Name,25.3.2,25
acrobatic,Adjective,1,Adjective,12,12
acrobatics,Noun,1,Noun,11,11
acrobats,Noun,0.89,Noun.Verb,16.2,16
acromegalia,Noun,1,Noun,10,10
acromion,Noun,1,Noun,2,2
acronym,Noun,1,Noun,15,15
acronyms,Noun,1,Noun,7,7
acrophobia,Noun,1,Noun,10,10
acropolis,Noun,0.83,Noun.Name,5.1,5
across,Preposition,0.86,Preposition.Adverb,4141.652,4141
acrylic,Adjective,0.83,Adjective.Noun,19.4,19
acrylics,Noun,1,Noun,3,3
act,Verb,0.51,Verb.Noun.Name,2823.2739.3,2823
acta,Name,1,Name,1,1
acted,Verb,1,Verb.Adjective,547.1,547
actg,Noun,1,Noun,1,1
actin,Noun,0.9,Noun.Name,46.5,46
acting,Verb,0.87,Verb.Adjective.Noun,2324.190.160,2324
actings,Noun,1,Noun,1,1
actinic,Adjective,1,Adjective,1,1
action,Noun,1,Noun.Verb.Name,3098.7.2,3098
actionable,Adjective,1,Adjective,13,13
actioner,Noun,1,Noun,1,1
actions,Noun,0.99,Noun.Verb,618.4,618
activate,Verb,1,Verb,238,238
activated,Verb,0.95,Verb.Adjective,208.12,208
activates,Verb,1,Verb,16,16
activating,Verb,0.93,Verb.Name.Adjective,41.2.1,41
activation,Noun,1,Noun,43,43
activator,Noun,1,Noun,4,4
active,Adjective,1,Adjective,584,584
actively,Adverb,1,Adverb,42,42
actives,Noun,1,Noun,1,1
activism,Noun,1,Noun,9,9
activist,Noun,1,Noun,50,50
activists,Noun,1,Noun,18,18
activities,Noun,1,Noun.Verb,438.1,438
activity,Noun,1,Noun,657,657
acton,Name,1,Name,12,12
actor,Noun,1,Noun.Name,1336.1,1336
actors,Noun,1,Noun,642,642
actory,Adjective,1,Adjective,1,1
actress,Noun,1,Noun,814,814
actresses,Noun,1,Noun,115,115
acts,Noun,0.56,Noun.Verb,353.283,353
actu,Noun,1,Noun,1,1
actual,Adjective,1,Adjective,882,882
actualisation,Noun,1,Noun,2,2
actualised,Verb,1,Verb,1,1
actualities,Noun,1,Noun,1,1
actuality,Noun,1,Noun,24,24
actualization,Noun,1,Noun,3,3
actualize,Verb,1,Verb,2,2
actually,Adverb,1,Adverb.Noun,16406.1,16406
actuals,Noun,1,Noun,2,2
actuarial,Adjective,1,Adjective,9,9
actuarially,Adverb,1,Adverb,1,1
actuaries,Noun,1,Noun,1,1
actuary,Noun,1,Noun,7,7
actuate,Verb,1,Verb,1,1
actuated,Verb,1,Verb,3,3
actuating,Adjective,1,Adjective,1,1
actuation,Noun,1,Noun,1,1
actuator,Noun,1,Noun,2,2
actuators,Noun,1,Noun,2,2
acuity,Noun,1,Noun,14,14
acumen,Noun,1,Noun,7,7
acupressure,Noun,0.67,Noun.Verb,4.2,4
acupuncture,Noun,1,Noun,37,37
acupuncturist,Noun,1,Noun,9,9
acupuncturists,Noun,1,Noun,2,2
acute,Adjective,1,Adjective,150,150
acutely,Adverb,1,Adverb,14,14
acuteness,Noun,1,Noun,1,1
acyclovir,Noun,1,Noun,1,1
ad,Noun,0.89,Noun.Adverb.Adjective,609.68.6,609
adage,Noun,0.91,Noun.Verb,29.3,29
adages,Noun,1,Noun,1,1
adagio,Noun,0.55,Noun.Name,6.5,6
adam,Name,1,Name.Noun,1879.4,1879
adamant,Adjective,1,Adjective,50,50
adamantine,Adjective,1,Adjective,1,1
adamantly,Adverb,1,Adverb,2,2
adamas,Noun,1,Noun,1,1
adams,Name,1,Name.Noun,468.1,468
adance,Noun,1,Noun,1,1
adapt,Verb,1,Verb,134,134
adaptability,Noun,1,Noun,7,7
adaptable,Adjective,1,Adjective,17,17
adaptation,Noun,1,Noun,81,81
adaptations,Noun,1,Noun,3,3
adapted,Verb,0.96,Verb.Adjective,54.2,54
adapter,Noun,1,Noun,11,11
adapting,Verb,1,Verb,27,27
adaption,Noun,1,Noun,1,1
adaptive,Adjective,1,Adjective,11,11
adaptor,Noun,1,Noun,4,4
adaptors,Noun,1,Noun,1,1
adapts,Verb,1,Verb,3,3
adar,Name,1,Name,3,3
adc,Name,1,Name,7,7
add,Verb,1,Verb.Noun,1681.1,1681
added,Verb,0.8,Verb.Adjective,396.97,396
addenda,Noun,1,Noun,2,2
addendum,Noun,1,Noun,15,15
addendums,Noun,1,Noun,4,4
adder,Noun,0.93,Noun.Name,68.5,68
adders,Noun,0.5,Noun.Name,1.1,1
addict,Noun,1,Noun,271,271
addicted,Verb,0.99,Verb.Adjective,228.3,228
addicting,Verb,1,Verb,3,3
addiction,Noun,1,Noun,199,199
addictions,Noun,0.95,Noun.Verb,20.1,20
